nama_tempat,rating_tempat,user_ratings_total,lat,lng,alamat_tempat,place_id,store,place_id.1,nama_kelurahan,nama_kecamatan,nama_kota
indomaret,4.3,104,-6.302203,106.7919364,"jl. lb. bulus iii no.40, rt.9/rw.7, cilandak bar., kota jakarta selatan",ChIJaxj8TyDuaS4RmJ8rDkpB2GA,Indomaret,ChIJaxj8TyDuaS4RmJ8rDkpB2GA,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret,0.0,0,-6.3070032,106.7936899,"10, rt.4/rw.10, pondok labu, south jakarta city",ChIJPz4W5BPvaS4RoUnKBAiaL3o,Indomaret,ChIJPz4W5BPvaS4RoUnKBAiaL3o,Pondok Labu,Cilandak,Kota Jakarta Selatan
indomaret bdn raya,4.2,66,-6.2793922,106.7984418,"jl. bdn raya no.10, rt.10/rw.11, cilandak bar., kota jakarta selatan",ChIJKZqyypTxaS4RkjwUtyXrkBY,Indomaret,ChIJKZqyypTxaS4RkjwUtyXrkBY,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret,4.7,3,-6.2782231,106.797096,"jl. rs. fatmawati raya no.7, rt.8/rw.6, gandaria sel., kota jakarta selatan",ChIJzVqDlcTxaS4Rwlnqrz5hXbo,Indomaret,ChIJzVqDlcTxaS4Rwlnqrz5hXbo,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
indomaret karang tengah raya,4.3,108,-6.3013439,106.7805495,"bona indah plaza, jl. karang tengah raya no.1, rt.5/rw.4, lb. bulus, kota jakarta selatan",ChIJ7aqqqinuaS4RKy68g0RuyMk,Indomaret,ChIJ7aqqqinuaS4RKy68g0RuyMk,Lebak Bulus,Cilandak,Kota Jakarta Selatan
indomaret,0.0,0,-6.2910563,106.7949517,"jl. pejaten raya no.19 a, rt.18/rw.2, jati padang, kota jakarta selatan",ChIJZW196Q7xaS4R95E7nWT6Da4,Indomaret,ChIJZW196Q7xaS4R95E7nWT6Da4,Jati Padang,Cilandak,Kota Jakarta Selatan
indomaret spbu terogong,4.8,8,-6.2821542,106.7916131,"jl. terogong raya no.16, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJj-UaO5zxaS4RHGBB4QPZ-0Y,Indomaret,ChIJj-UaO5zxaS4RHGBB4QPZ-0Y,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret spbu simatupang,4.2,22,-6.2928207,106.794356,"pq4v+vph, jl. r.a. kartini, rt.1/rw.4, cilandak bar., kota jakarta selatan",ChIJPd3qm93xaS4Ry_DGnmEAInk,Indomaret,ChIJPd3qm93xaS4Ry_DGnmEAInk,Cilandak Barat,Cilandak,Kota Jakarta Selatan
indomaret golden fatmawati,0.0,0,-6.2777755,106.7968703,"jl. rs. fatmawati no. 15 ab gandaria selatan cilandak jakarta selatan dki jakarta rt.8, rw.6, gandaria sel., kota jakarta selatan",ChIJSShBVZDxaS4Rte30BlBPAO4,Indomaret,ChIJSShBVZDxaS4Rte30BlBPAO4,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
indomaret fatmawati 26,4.3,6,-6.3043705,106.7951843,"jl. rs. fatmawati raya no.26, rt.1/rw.7, pd. labu, kota jakarta selatan",ChIJ-WTA4iHuaS4RhhDcoecn57U,Indomaret,ChIJ-WTA4iHuaS4RhhDcoecn57U,Pondok Labu,Cilandak,Kota Jakarta Selatan
indomaret,4.7,6,-6.3203625,106.8106762,"jl. m. khafi no.62, rt.3/rw.4, jagakarsa, kota jakarta selatan",ChIJWdlCSXPuaS4RzpIWwflyKKU,Indomaret,ChIJWdlCSXPuaS4RzpIWwflyKKU,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
indomaret ciremai jagakarsa,3.9,22,-6.3245086,106.8113082,"jl. m.kahfi 1 rt 01/rw 04, jagakarsa, jagakarsa, rt.2/rw.7, jagakarsa, south jakarta city",ChIJcQAAANntaS4RAesd4Pw1hXk,Indomaret,ChIJcQAAANntaS4RAesd4Pw1hXk,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
indomaret jl. m. kahfi 1,4.1,73,-6.3180584,106.8113141,"jalan jagakarsa blok hidayah no.10 rt.10/rw.6, rt.3/rw.6, jagakarsa, kota jakarta selatan",ChIJWQO5mgzuaS4RFP9F2gFfJyY,Indomaret,ChIJWQO5mgzuaS4RFP9F2gFfJyY,Jagakarsa,Jagakarsa,Kota Jakarta Selatan
